ldef	mean_chipenrich_caught	prop_covered	n
chromhmm_dnase.1000.nearest_tss_500000	0.463401862593237	0.314484705641527	297
chromhmm_dnase.1000.P2P	0.181806607751553	0.0425618829650321	297
chromhmm_dnase.1000.P2P_E	0.268996698388671	0.140766787477391	297
chromhmm_dnase.1000.P2P_E_fantom	0.380988862882587	0.26385545938505	297
chromhmm_dnase.1000.P2P_E_thurman	0.35635701200435	0.230087437877092	297
chromhmm_dnase.1000.P2P_E_thurman_fantom	0.407404261109996	0.34639731216611	297
chromhmm_dnase.1000.P2P_fantom	0.340023898690616	0.174018510213966	297
chromhmm_dnase.1000.P2P_thurman	0.301564095966914	0.139311481809344	297
chromhmm_dnase.1000.P2P_thurman_fantom	0.375582945301933	0.262899000504986	297
chromhmm_dnase.1000.thurman	0.242330294973533	0.101418305143891	297
chromhmm_dnase.1000.thurman_fantom	0.35610742342505	0.228056173793972	297
chromhmm_fantom.0.E	0.106035842705199	0.0512148438672079	297
chromhmm_fantom.0.E_fantom	0.270461379075957	0.118212718702047	297
chromhmm_fantom.0.E_thurman	0.245940635282921	0.103985779204197	297
chromhmm_fantom.0.E_thurman_fantom	0.300998053355384	0.166537961061767	297
chromhmm_fantom.0.fantom	0.23004666932427	0.0719447698070485	297
chromhmm_fantom.0.nearest_tss_500000	0.350453891278315	0.155248347103823	297
chromhmm_fantom.0.P2P	0.133124622728704	0.0260178940303222	297
chromhmm_fantom.0.P2P_E	0.202867656613226	0.0735709886864486	297
chromhmm_fantom.0.P2P_E_fantom	0.289232429900627	0.138649004183564	297
chromhmm_fantom.0.P2P_E_thurman	0.274306593416756	0.12386249742567	297
chromhmm_fantom.0.P2P_E_thurman_fantom	0.310265301789362	0.184884678893663	297
chromhmm_fantom.0.P2P_fantom	0.256923810701621	0.0955989531346387	297
chromhmm_fantom.0.P2P_thurman	0.23356117981559	0.0810259965543888	297
chromhmm_fantom.0.P2P_thurman_fantom	0.286547803425168	0.145823323454772	297
chromhmm_fantom.0.thurman	0.19505978584723	0.0583788804683024	297
chromhmm_fantom.0.thurman_fantom	0.273387924067245	0.125035253524928	297
chromhmm_fantom.1000.E	0.112769970416694	0.0620027489971705	297
chromhmm_fantom.1000.E_fantom	0.289801209784429	0.138499342426767	297
chromhmm_fantom.1000.E_thurman	0.261380205542656	0.124046364113762	297
chromhmm_fantom.1000.E_thurman_fantom	0.321818424481073	0.195564733893143	297
chromhmm_fantom.1000.fantom	0.246528827969847	0.082150136414178	297
chromhmm_fantom.1000.nearest_tss_500000	0.377310049571669	0.189115886523335	297
chromhmm_fantom.1000.P2P	0.14564801739229	0.0288496464735998	297
chromhmm_fantom.1000.P2P_E	0.219436888366045	0.0869137312917664	297
chromhmm_fantom.1000.P2P_E_fantom	0.311506529917028	0.161302987873527	297
chromhmm_fantom.1000.P2P_E_thurman	0.294444126403234	0.146306819565246	297
chromhmm_fantom.1000.P2P_E_thurman_fantom	0.333383444594864	0.216135020345776	297
chromhmm_fantom.1000.P2P_fantom	0.277055635480949	0.108396702594877	297
chromhmm_fantom.1000.P2P_thurman	0.250701927742822	0.0937441551373135	297
chromhmm_fantom.1000.P2P_thurman_fantom	0.307750265168776	0.167927099336937	297
chromhmm_fantom.1000.thurman	0.206385722615821	0.0684863036089055	297
chromhmm_fantom.1000.thurman_fantom	0.291687650540519	0.144707959656231	297
chromhmm_thurman_fantom.0.E	0.115288998251424	0.0548775615202661	297
chromhmm_thurman_fantom.0.E_fantom	0.297820678519131	0.127965318011215	297
chromhmm_thurman_fantom.0.E_thurman	0.265827332751349	0.110746214542744	297
chromhmm_thurman_fantom.0.E_thurman_fantom	0.329938091411656	0.179125161286977	297
chromhmm_thurman_fantom.0.fantom	0.254469537839219	0.0785579845215599	297
chromhmm_thurman_fantom.0.nearest_tss_500000	0.383644388070557	0.166650470244494	297
chromhmm_thurman_fantom.0.P2P	0.146596102857791	0.0265191596620421	297
chromhmm_thurman_fantom.0.P2P_E	0.222070702192854	0.0776926183016715	297
chromhmm_thurman_fantom.0.P2P_E_fantom	0.317828205454916	0.148821639196241	297
chromhmm_thurman_fantom.0.P2P_E_thurman	0.298666190106283	0.131073263451829	297
chromhmm_thurman_fantom.0.P2P_E_thurman_fantom	0.340037400597884	0.197884811084055	297
chromhmm_thurman_fantom.0.P2P_fantom	0.283278708968507	0.102649379345969	297
chromhmm_thurman_fantom.0.P2P_thurman	0.253942349093314	0.084803084362231	297
chromhmm_thurman_fantom.0.P2P_thurman_fantom	0.31455826788573	0.155863387870273	297
chromhmm_thurman_fantom.0.thurman	0.209277823928422	0.0616703976712158	297
chromhmm_thurman_fantom.0.thurman_fantom	0.300088324080058	0.134634910068241	297
chromhmm_thurman_fantom.1000.E	0.121916422633441	0.0803058068288399	297
chromhmm_thurman_fantom.1000.E_fantom	0.329854023564216	0.194892105070193	297
chromhmm_thurman_fantom.1000.E_thurman	0.285947450464773	0.157617247919043	297
chromhmm_thurman_fantom.1000.E_thurman_fantom	0.361090796964333	0.26552939615931	297
chromhmm_thurman_fantom.1000.fantom	0.286171133977199	0.123290412455474	297
chromhmm_thurman_fantom.1000.nearest_tss_500000	0.417267076798566	0.246877090628761	297
chromhmm_thurman_fantom.1000.P2P	0.162440661389176	0.0332442229642697	297
chromhmm_thurman_fantom.1000.P2P_E	0.242487160904759	0.109246958471089	297
chromhmm_thurman_fantom.1000.P2P_E_fantom	0.350635438226051	0.221288338822216	297
chromhmm_thurman_fantom.1000.P2P_E_thurman	0.324159541902517	0.183599576418468	297
chromhmm_thurman_fantom.1000.P2P_E_thurman_fantom	0.372243651022026	0.289434977720794	297
chromhmm_thurman_fantom.1000.P2P_fantom	0.315541728193521	0.153428690176835	297
chromhmm_thurman_fantom.1000.P2P_thurman	0.275622204709868	0.114031292478692	297
chromhmm_thurman_fantom.1000.P2P_thurman_fantom	0.345728873655528	0.227035448225698	297
chromhmm_thurman_fantom.1000.thurman	0.224949229092792	0.0847525209018698	297
chromhmm_thurman_fantom.1000.thurman_fantom	0.330020319802454	0.200238044006949	297
